AÑO;IDNOREMP;CORRELA;IDOJ1;IDAIO;BRUTA;ARRIENDO;SERV_INT;PUBLICI;TRANSP;SERV_EXT;TOTAL_REM;VENTA;TOT_PERSO;INV_PRO;CTO
2014;985561;472;14;2011;1447483;30496;21978;;243119;2758;654373;7761440;42;84543.5;6313957
2014;985521;472;14;2011;1967453;69284;103183;5576;34913;40052;684975;13643476;58;598041.5;11676023
2014;985488;472;14;2012;12907461;3101596;308478;75000;40324;81699;2405460;21884288;131;4401913.5;8976827
2014;985465;472;14;2012;377121;43966;19040;;3518;10716;221268;2042079;22;236256.5;1664958
2014;985461;472;14;2012;1532777;313746;68333;53996;98721;59301;330390;6537065;26;49154;5004288
2014;985455;472;14;2012;2014878;386492;276238;14181;111124;33535;362912;7305369;47;92479;5290491
2014;985449;472;14;2013;823966;306600;82781;;3962;16035;276783;4711113;26;47350;3887147
2014;985447;472;14;2013;1742210;139296;154463;292;138544;69953;762444;11243196;47;664825.5;9500986
2014;985446;472;14;2012;798847;9770;38520;635;7875;;362845;9938144;27;737793.5;9139297
2014;985442;472;14;2013;980345;170874;101292;;176077;35940;515469;13681164;40;776303.5;12700819
2014;985439;472;14;2013;1169235;87083;131122;9780;203603;72047;410301;5175952;30;112360.5;3857671
2014;985430;472;14;2013;176366;30000;13000;;12820;;67409;815230;3;11912.5;638864
2014;985419;472;11;1996;1240022;126741;50620;3850;11377;160287;537322;11747331;44;953718;10507309
2014;985418;4711;11;2008;4540483;48435;98635;15064;120879;77947;462804;15189338;45;2433660.5;10648855
2014;985376;4711;14;2010;1325550;;62691;6117;256856;26919;383956;12301757;25;288448;10976207
2014;985367;472;11;2005;403690;3140;30960;1850;36582;7215;215809;6349194;21;652115.5;5945504
2014;985365;472;11;1993;1063089;114117;145381;14605;77237;31810;602602;16090980;48;667498;15027891
2014;985355;472;5;1996;15692894;383519;1220457;16843;195718;525019;4456579;96305393;331;4991802.5;80612499
2014;985354;472;12;1996;712498;;22886;3240;72733;41823;303517;4259418;14;197237;3546920
2014;985351;472;99;2004;532819;41423;26116;;112511;9586;246125;6640840;17;112737;6108021
2014;985336;472;11;2000;1874579;6150;164651;11582;504149;82002;517851;13116659;48;5099017;11242080
2014;985292;472;14;2011;299578;;19172;;19567;2318;258637;3328653;21;724652;3029075
2014;985288;472;14;2011;;;;;;;;16217243.4;;;
2014;985281;472;14;2009;2737626;59331;385394;56933;126139;86105;804235;20305818;63;1669938.5;17568192
2014;985274;472;11;1998;1702047;2816;243390;33545;80381;86891;542907;10172023;44;830894.5;8469976
2014;985268;4711;11;1996;717588;;301088;25600;4800;12000;1333422;12034026;92;2520336;11316438
2014;985250;472;11;1996;472664;;52256;328;;5224;159512;3938868;13;60540;3466204
2014;985209;472;4;2005;769811;;217826;23680;75891;20906;565652;4929253;32;602818.5;4159442
2014;985186;472;4;0;;;;;;;;16217243.4;;;
2014;985177;4711;5;2008;1402089;71388;160752;70119;115492;22214;570404;11483364;50;454627;10081275
2014;985168;472;14;2010;6482046;123072;73977;30056;23479;43709;2015867;95131199;165;423761.5;88649153
2014;985154;472;14;2012;982426;29700;28500;1000;63265;9378;198644;7032000;19;1673017;6049574
2014;985152;472;14;2011;2422872;115701;117216;48650;223309;40812;504110;20651979;47;589720;18229107
2014;985137;472;14;2013;;;;;;;;700000;10;;
2014;985127;472;11;1989;1118602;16596;15873;19800;110327;80944;344350;13679901;34;1354413.5;12561299
2014;985085;472;11;2013;107317;;1860;;;;;392371;2;;285054
2014;985055;472;11;2004;;;;;;;;793502;10;;
2014;985040;472;11;1989;712223;;7120;;;18811;311264;16955406;27;1561566;16243183
2014;985004;472;4;0;;;;;;;;16217243.4;;;
2014;984977;472;14;2004;1772821;64900;166615;22870;68182;133873;693710;9790620;54;549292;8017799
2014;984947;472;5;2007;900984;98771;107567;10378;74155;102313;270178;7841663;24;1009324;6940679
2014;984909;472;14;2010;1889157;57001;142021;44529;583818;42729;395601;7330580;30;143504;5441423
2014;984902;472;14;2011;373487;;66285;15507;34912;3895;249401;2959115;22;313077;2585628
2014;984881;472;14;2012;610277;61708;5467;;;;552875;834921;49;;224644
2014;984868;472;14;0;;;;;;;;16217243.4;;;
2014;984861;472;11;2008;3878941;189182;152141;14026;115364;14792;706406;21002017;52;2046686;17123076
2014;984860;472;14;1999;;;;;;;;2932045;18;;
2014;984814;472;11;2011;438273;60000;91804;2155;41595;5246;291307;2796962;25;91890;2358689
2014;984813;472;11;2012;358138;8760;4780;;4200;;223815;5100190;25;174215;4742052
2014;984804;472;14;2012;2831485;76175;286367;29602;261499;72716;1174973;29393825;105;1012892;26562340
2014;984777;472;14;2012;1055473;72000;83505;21604;56296;31437;363721;8118610;31;7447286.5;7063137
2014;984769;472;11;2009;1360289;325015;139541;;252064;87210;631031;7452229;44;115527.5;6091940
2014;984737;472;14;2010;1313174;;80614;20070;7230;50987;309001;9170364;21;945703.5;7857190
2014;984727;472;14;2011;977741;21419;26660;;364870;4516;534947;5759337;40;55310;4781596
2014;984691;4711;14;0;;;;;;;;16217243.4;;;
2014;984690;472;11;2005;745775;67464;79543;;10040;15332;490202;3009760;48;125727.5;2263985
2014;984686;472;11;1998;;;;;;;;16217243.4;;;
2014;984685;472;11;1996;218558;3786;19258;;37818;16917;313751;13215298;31;1802807;12996740
2014;984682;4711;11;1997;1830033;11796;168553;;221129;71430;495250;13283884;43;656344;11453851
2014;984680;472;11;2013;;;;;;;;1614592;7;;
2014;984665;4711;4;2003;543544;20200;12326;1500;2500;20734;222316;4296292;20;59965.5;3752748
2014;984651;472;5;2007;2350102;276278;178626;195479;126560;100807;872199;18717117;83;1696194;16367015
2014;984646;4711;14;2009;3831075;221816;278159;107184;319266;131964;1856236;32641644;149;1994867.5;28810569
2014;984642;4711;14;2010;806762;10904;9555;450;32230;12070;407139;4473864;29;54492;3667102
2014;984641;472;14;2010;1943859;184741;141137;99323;221622;62244;566244;14455856;54;979564;12511997
